,samples,trajectories,rewards,iter,samples_readable,trajectories_readable
20,"[[200, 200, 302, 0, 602], [200, 301, 302, 602, 602], [200, 301, 302, 302, 602], [100, 301, 301, 300, 300], [100, 400, 400, 0, 300], [100, 400, 400, 600, 300], [100, 601, 0, 600, 600], [601, 601, 601, 600, 0]]","[(6, 180, 0), (4, 0, 1), (3, 0, 1), (1, 0, 0), (2, 180, 0), (6, 90, 3), (3, 180, 3), (3, 0, 2), (6, 270, 3), (-1, -1, -1)]",8103.083984375,38,"[200 200 302   0 602]
[200 301 302 602 602]
[200 301 302 302 602]
[100 301 301 300 300]
[100 400 400   0 300]
[100 400 400 600 300]
[100 601   0 600 600]
[601 601 601 600   0]",[[6 180 0] [4 0 1] [3 0 1] [1 0 0] [2 180 0] [6 90 3] [3 180 3] [3 0 2] [6 270 3] [-1 -1 -1]]
21,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 270, 2), (2, 0, 2), (2, 180, 2), (1, 0, 4), (1, 0, 4), (6, 90, 0), (3, 180, 0), (4, 0, 0), (-1, -1, -1)]",8103.083984375,39,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 270 2] [2 0 2] [2 180 2] [1 0 4] [1 0 4] [6 90 0] [3 180 0] [4 0 0] [-1 -1 -1]]
22,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 90, 0), (3, 180, 0), (6, 270, 2), (1, 0, 4), (1, 0, 4), (2, 0, 2), (4, 0, 0), (2, 180, 2), (-1, -1, -1)]",8103.083984375,39,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 90 0] [3 180 0] [6 270 2] [1 0 4] [1 0 4] [2 0 2] [4 0 0] [2 180 2] [-1 -1 -1]]
23,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 270, 2), (6, 90, 0), (3, 180, 0), (2, 0, 2), (2, 180, 2), (1, 0, 4), (1, 0, 4), (4, 0, 0), (-1, -1, -1)]",8103.083984375,40,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 270 2] [6 90 0] [3 180 0] [2 0 2] [2 180 2] [1 0 4] [1 0 4] [4 0 0] [-1 -1 -1]]
24,"[[103, 100, 102, 0, 0], [103, 100, 102, 201, 201], [103, 100, 102, 201, 0], [103, 100, 102, 201, 301], [101, 300, 301, 301, 301], [101, 300, 200, 200, 200], [101, 300, 300, 600, 200], [101, 0, 600, 600, 600]]","[(6, 180, 2), (3, 0, 1), (1, 0, 1), (2, 90, 2), (3, 90, 2), (2, 180, 3), (1, 0, 0), (1, 0, 2), (1, 0, 0), (-1, -1, -1)]",8103.083984375,41,"[103 100 102   0   0]
[103 100 102 201 201]
[103 100 102 201   0]
[103 100 102 201 301]
[101 300 301 301 301]
[101 300 200 200 200]
[101 300 300 600 200]
[101   0 600 600 600]",[[6 180 2] [3 0 1] [1 0 1] [2 90 2] [3 90 2] [2 180 3] [1 0 0] [1 0 2] [1 0 0] [-1 -1 -1]]
25,"[[102, 200, 200, 400, 400], [102, 200, 0, 400, 400], [102, 200, 500, 500, 100], [102, 500, 500, 700, 100], [101, 301, 700, 700, 100], [101, 301, 700, 0, 100], [101, 301, 301, 0, 300], [101, 0, 300, 300, 300]]","[(3, 90, 2), (3, 0, 1), (7, 90, 2), (5, 0, 1), (2, 180, 1), (1, 0, 0), (1, 0, 4), (4, 0, 3), (1, 0, 0), (-1, -1, -1)]",8103.083984375,41,"[102 200 200 400 400]
[102 200   0 400 400]
[102 200 500 500 100]
[102 500 500 700 100]
[101 301 700 700 100]
[101 301 700   0 100]
[101 301 301   0 300]
[101   0 300 300 300]",[[3 90 2] [3 0 1] [7 90 2] [5 0 1] [2 180 1] [1 0 0] [1 0 4] [4 0 3] [1 0 0] [-1 -1 -1]]
26,"[[200, 200, 302, 0, 602], [200, 301, 302, 602, 602], [200, 301, 302, 302, 602], [100, 301, 301, 300, 300], [100, 400, 400, 0, 300], [100, 400, 400, 600, 300], [100, 601, 0, 600, 600], [601, 601, 601, 600, 0]]","[(6, 180, 0), (4, 0, 1), (3, 0, 1), (6, 90, 3), (3, 180, 3), (3, 0, 2), (1, 0, 0), (2, 180, 0), (6, 270, 3), (-1, -1, -1)]",8103.083984375,41,"[200 200 302   0 602]
[200 301 302 602 602]
[200 301 302 302 602]
[100 301 301 300 300]
[100 400 400   0 300]
[100 400 400 600 300]
[100 601   0 600 600]
[601 601 601 600   0]",[[6 180 0] [4 0 1] [3 0 1] [6 90 3] [3 180 3] [3 0 2] [1 0 0] [2 180 0] [6 270 3] [-1 -1 -1]]
27,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 270, 2), (2, 0, 2), (1, 0, 4), (6, 90, 0), (1, 0, 4), (2, 180, 2), (3, 180, 0), (4, 0, 0), (-1, -1, -1)]",8103.083984375,42,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 270 2] [2 0 2] [1 0 4] [6 90 0] [1 0 4] [2 180 2] [3 180 0] [4 0 0] [-1 -1 -1]]
28,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 90, 0), (1, 0, 4), (3, 180, 0), (6, 270, 2), (4, 0, 0), (1, 0, 4), (2, 0, 2), (2, 180, 2), (-1, -1, -1)]",8103.083984375,42,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 90 0] [1 0 4] [3 180 0] [6 270 2] [4 0 0] [1 0 4] [2 0 2] [2 180 2] [-1 -1 -1]]
29,"[[200, 200, 302, 0, 602], [200, 301, 302, 602, 602], [200, 301, 302, 302, 602], [100, 301, 301, 300, 300], [100, 400, 400, 0, 300], [100, 400, 400, 600, 300], [100, 601, 0, 600, 600], [601, 601, 601, 600, 0]]","[(6, 180, 0), (1, 0, 0), (4, 0, 1), (3, 0, 1), (6, 90, 3), (3, 180, 3), (2, 180, 0), (3, 0, 2), (6, 270, 3), (-1, -1, -1)]",8103.083984375,43,"[200 200 302   0 602]
[200 301 302 602 602]
[200 301 302 302 602]
[100 301 301 300 300]
[100 400 400   0 300]
[100 400 400 600 300]
[100 601   0 600 600]
[601 601 601 600   0]",[[6 180 0] [1 0 0] [4 0 1] [3 0 1] [6 90 3] [3 180 3] [2 180 0] [3 0 2] [6 270 3] [-1 -1 -1]]
30,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(1, 0, 4), (3, 90, 0), (6, 270, 2), (6, 90, 0), (3, 180, 0), (2, 0, 2), (4, 0, 0), (1, 0, 4), (2, 180, 2), (-1, -1, -1)]",8103.083984375,43,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[1 0 4] [3 90 0] [6 270 2] [6 90 0] [3 180 0] [2 0 2] [4 0 0] [1 0 4] [2 180 2] [-1 -1 -1]]
31,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (1, 0, 4), (6, 270, 2), (6, 90, 0), (2, 0, 2), (3, 180, 0), (2, 180, 2), (4, 0, 0), (1, 0, 4), (-1, -1, -1)]",8103.083984375,44,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [1 0 4] [6 270 2] [6 90 0] [2 0 2] [3 180 0] [2 180 2] [4 0 0] [1 0 4] [-1 -1 -1]]
32,"[[102, 200, 200, 400, 400], [102, 200, 0, 400, 400], [102, 200, 500, 500, 100], [102, 500, 500, 700, 100], [101, 301, 700, 700, 100], [101, 301, 700, 0, 100], [101, 301, 301, 0, 300], [101, 0, 300, 300, 300]]","[(3, 90, 2), (3, 0, 1), (7, 90, 2), (1, 0, 4), (5, 0, 1), (2, 180, 1), (1, 0, 0), (4, 0, 3), (1, 0, 0), (-1, -1, -1)]",8103.083984375,46,"[102 200 200 400 400]
[102 200   0 400 400]
[102 200 500 500 100]
[102 500 500 700 100]
[101 301 700 700 100]
[101 301 700   0 100]
[101 301 301   0 300]
[101   0 300 300 300]",[[3 90 2] [3 0 1] [7 90 2] [1 0 4] [5 0 1] [2 180 1] [1 0 0] [4 0 3] [1 0 0] [-1 -1 -1]]
33,"[[200, 200, 302, 0, 602], [200, 301, 302, 602, 602], [200, 301, 302, 302, 602], [100, 301, 301, 300, 300], [100, 400, 400, 0, 300], [100, 400, 400, 600, 300], [100, 601, 0, 600, 600], [601, 601, 601, 600, 0]]","[(6, 180, 0), (4, 0, 1), (3, 0, 1), (1, 0, 0), (2, 180, 0), (6, 90, 3), (3, 180, 3), (3, 0, 2), (6, 270, 3), (-1, -1, -1)]",8103.083984375,47,"[200 200 302   0 602]
[200 301 302 602 602]
[200 301 302 302 602]
[100 301 301 300 300]
[100 400 400   0 300]
[100 400 400 600 300]
[100 601   0 600 600]
[601 601 601 600   0]",[[6 180 0] [4 0 1] [3 0 1] [1 0 0] [2 180 0] [6 90 3] [3 180 3] [3 0 2] [6 270 3] [-1 -1 -1]]
